,refname,total,response_var,response_var_2,trophic_invader,trophic_invader_2,habitat_type,study_type,study_type_2,citations,dataset,response_fxnlgrp,response_fxnlgrp_2,response_fxnlgrp_3,Physicochemical,Critters,Phys.and.Critters,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,bythotrephes,trout,last_author_region,same_first_author,last_author_english,species,FWS_NOAA,USDA_EPA_conserv
1,able2000,6054,Abundance,Abundance,Primary-producer,Primary-producer,Estuary,Observational,Observational,121,gallardo,Multiple,Benthic Invertebrates and Fish,Multiple Critters,0,1,0,0,0,1,0,0,0,Estuaries,Ecosystem,2000,1.031,2000,USA,0,0,1,0,0,0,North America,able,1,Phragmites,1,0
2,albertson2016,3723,Abundance,Abundance,Filter-collector,Filter-collector,River,Manipulative,Manipulative,0,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Freshwater Science,Ecosystem,2016,2.213,2015,USA,0,0,0,0,0,0,North America,albertson,1,Other,0,0
3,anderson2014,3509,Multiple,ADP,Omnivore,Omnivore,Lake,Observational,Observational,9,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,1,1,1,1,1,0,0,0,0,Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,0,0,Central and South America,anderson,0,Other,1,0
4,angeler2013,4664,Multiple,ADP,Primary-producer,Primary-producer,Lake,Observational,Observational,10,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,1,1,1,0,0,0,1,0,0,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,0,0,Europe,angeler,0,Other,0,1
5,angeloni2006,2875,Multiple,ADP,Primary-producer,Primary-producer,Lake,Observational,Observational,119,gallardo,Multiple,Benthic Invertebrates and Macrophytes,Multiple Critters,1,1,1,1,0,0,0,0,0,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,1,0,0,0,North America,angeloni,1,Phragmites,0,0
6,arthur2010,4974,Diversity,Diversity,Omnivore,Omnivore,Lake,Multiple,Manipulative and Observational,56,gallardo,Fish,Fish,Fish,0,1,0,0,1,0,0,0,0,Aquaculture,General,2010,2.044,2010,UK,0,0,0,0,0,0,Europe,arthur,1,Other,1,0
7,atalah2010,3770,Multiple,AD,Filter-collector,Filter-collector,Lake,Observational,Observational,4,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,1,0,0,Hydrobiologia,General,2010,1.964,2010,Ireland,0,1,0,0,0,0,Europe,lejart,1,Zebra mussel,0,1
8,back2012,4402,Multiple,AD,Primary-producer,Primary-producer,Lake,Manipulative,Manipulative,3,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,1,0,0,0,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,0,0,North America,back,1,Phragmites,1,0
9,bajer2009,4297,Abundance,Abundance,Omnivore,Omnivore,Lake,Observational,Observational,94,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,0,0,1,Hydrobiologia,General,2009,1.754,2009,USA,1,0,0,0,0,0,North America,bajer,1,Carp,0,1
10,bajer2015,3555,Abundance,Abundance,Omnivore,Omnivore,Lake,Manipulative,Manipulative,14,new,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,0,0,1,Global Change Biology,General,2014,7.5,2014,USA,1,0,0,0,0,0,North America,bajer,1,Carp,0,1
11,baldridge2014,4449,Diversity,Diversity,Filter-collector,Filter-collector,Lake,Observational,Observational,1,new,Macrophytes,Macrophytes,Macrophytes,0,1,0,1,0,0,0,0,1,Freshwater Science,Ecosystem,2014,1.762,2014,USA,0,0,0,0,0,0,North America,baldridge,1,Other,0,1
12,baranowska2013,5103,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Observational,Observational,4,gallardo,Phytoplankton,Phytoplankton,Phytoplankton,0,1,0,1,0,0,0,0,0,Inland Waters,Ecosystem,2013,1.432,2013,Canada,0,1,0,0,0,0,North America,baranowska,1,Zebra mussel,0,0
13,barbiero2008,5153,Diversity,Diversity,Predator,Predator,Lake,Observational,Observational,8,gallardo,Phytoplankton,Phytoplankton,Phytoplankton,0,1,0,0,0,0,1,0,0,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,1,0,North America,barbiero,1,Bythotrephes,0,1
14,bassett2012,4716,Abundance,Abundance,Primary-producer,Primary-producer,Lake,Observational,Observational,5,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,1,1,Acta Oecologica,General,2012,1.621,2012,New Zealand,0,0,0,0,0,0,Australia and New Zealand,bassett,1,Other,0,1
15,bauer2007,5022,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Observational,Observational,19,gallardo,Fish,Fish,Fish,0,1,0,1,0,1,0,0,0,Biological Invasions,Invasions,2007,2.125,2007,USA,0,1,0,0,0,0,North America,bauer,1,Zebra mussel,1,0
16,baxter2004,3757,Abundance,Abundance,Predator,Predator,River,Manipulative,Manipulative,337,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,0,1,0,1,0,0,0,0,0,Ecology,General,2004,4.104,2004,USA,0,0,0,0,0,1,North America,baxter,1,Trout,0,0
17,bazterrica2011,4722,Abundance,Abundance,Filter-collector,Filter-collector,Estuary,Observational,Observational,10,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,1,0,0,0,0,0,Biological Invasions,Invasions,2011,2.896,2011,Argentina,0,0,0,0,0,0,Central and South America,bazterrica,0,Other,0,0
18,beekey2004,4073,Multiple,AD,Filter-collector,Filter-collector,Lake,Mesocosm,Mesocosm,54,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,1,0,0,0,Freshwater Biology,Ecosystem,2004,2.205,2004,USA,0,1,0,0,0,0,North America,beekey,1,Zebra mussel,1,0
19,beisner2003,5650,Abundance,Abundance,Predator,Predator,Lake,Observational,Observational,74,gallardo,Zooplankton,Zooplankton,Zooplankton,0,1,0,1,1,0,0,0,0,Journal of Animal Ecology,General,2003,2.843,2003,USA,0,0,0,0,0,0,North America,beisner,1,Other,1,0
20,bially2000,5564,Multiple,AD,Filter-collector,Filter-collector,Lake,Observational,Observational,112,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,1,Freshwater Biology,Ecosystem,2000,1.571,2000,Canada,0,1,0,0,0,0,North America,bially,1,Zebra mussel,0,1
21,bishop2012,4798,Multiple,AD,Primary-producer,Primary-producer,Estuary,Manipulative,Manipulative,13,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,0,1,0,1,0,0,0,0,0,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,0,0,Australia and New Zealand,bishop,1,Other,0,0
22,bobeldyk2008,4291,Abundance,Abundance,Omnivore,Omnivore,River,Observational,Observational,15,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,0,1,0,1,0,0,0,0,1,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,0,0,North America,bobeldyk,1,Other,0,1
23,bogacka-kapusta2013,2583,Abundance,Abundance,Primary-producer,Primary-producer,Lake,Observational,Observational,2,gallardo,Zooplankton,Zooplankton,Zooplankton,0,1,0,0,1,0,0,0,0,Acta Zoologica Bulgarica,General,2013,0.357,2013,Poland,0,0,0,0,0,0,Europe,bogacka-kapusta,0,Other,1,0
24,botts ps1996,2249,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Observational,Observational,173,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,North American Benthological Society,Ecosystem,1996,1.211,1997,USA,0,1,0,0,0,0,North America,botts,1,Zebra mussel,0,0
25,bourdeau2011,5867,Abundance,Abundance,Predator,Predator,Lake,Observational,Observational,23,gallardo,Zooplankton,Zooplankton,Zooplankton,0,1,0,1,1,1,0,0,0,Biological Invasions,Invasions,2011,2.896,2011,USA,0,0,0,0,1,0,North America,bourdeau,1,Bythotrephes,1,0
26,bowen2011,4306,Abundance,Abundance,Multiple,Predator and Filter-collector,Lake,Observational,Observational,18,gallardo,Zooplankton,Zooplankton,Zooplankton,0,1,0,0,0,0,0,0,1,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,0,0,North America,bowen,1,Zebra mussel,0,1
27,bruschetti2008,3538,Multiple,AP,Filter-collector,Filter-collector,Estuary,Mesocosm,Mesocosm,25,gallardo,Multiple,Phytoplankton,Phytoplankton,1,1,1,1,0,0,0,0,0,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,0,0,Central and South America,bruschetti,0,Other,0,0
28,bruschetti2011,5732,Multiple,AP,Filter-collector,Filter-collector,Estuary,Multiple,Mesocosm,4,gallardo,Multiple,Phytoplankton,Phytoplankton,1,1,1,1,0,0,0,0,0,Journal of Sea Research,Ecosystem,2011,2.598,2011,Argentina,0,0,0,0,0,0,Central and South America,bruschetti,0,Other,0,0
29,bunnell2008,4349,Multiple,AD,Predator,Predator,River,Observational,Observational,9,gallardo,Fish,Fish,Fish,0,1,0,0,0,0,1,0,1,Copeia,General,2008,1.1,2008,USA,0,0,0,0,0,0,North America,bunnell,1,Other,0,1
30,buria2007,3706,Abundance,Abundance,Predator,Predator,River,Observational,Observational,42,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Fundamental and Applied Limnology,Ecosystem,2007,0.558,2008,Argentina,0,0,0,0,0,1,Central and South America,buria,0,Trout,0,0
31,byers2014,4444,Abundance,Abundance,Filter-collector,Filter-collector,Estuary,Mesocosm,Mesocosm,3,new,Phytoplankton,Phytoplankton,Phytoplankton,0,1,0,1,0,1,0,0,0,PLOS ONE ,General,2014,2.885,2014,USA,0,0,0,0,0,0,North America,byers,1,Other,1,0
32,caiola2005,2953,Abundance,Abundance,Omnivore,Omnivore,Estuary,Mesocosm,Mesocosm,87,gallardo,Fish,Fish,Fish,0,1,0,0,0,0,0,0,0,Journal of Applied Ichthyology,General,2005,0.563,2005,Spain,0,0,0,0,0,0,Europe,caiola,0,Other,0,0
33,camarillo2015,5607,Multiple,AD,Primary-producer,Primary-producer,River,Observational,Observational,1,new,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,0,0,1,Forest Ecology and Management,Conservation,2015,2.826,2015,USA,0,0,0,0,0,0,North America,camarillo,1,Other,0,1
34,caraco1997,6750,Multiple,AP,Filter-collector,Filter-collector,River,Observational,Observational,369,gallardo,Multiple,Zooplankton,Zooplankton,1,1,1,1,0,0,0,0,1,Ecology,General,1997,3.139,1997,USA,0,1,0,0,0,0,North America,caraco,1,Zebra mussel,0,1
35,caraco2002,6783,Physicochemical,Physicochemical,Primary-producer,Primary-producer,River,Observational,Observational,159,gallardo,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,1,0,1,0,0,1,Ecological Applications,Conservation,2002,3.025,2002,USA,0,0,0,0,0,0,North America,caraco,1,Other,1,1
36,cardona2006,2624,Multiple,AP,Omnivore,Omnivore,Lake,Manipulative,Manipulative,14,gallardo,Multiple,Macrophytes and Phytoplankton,Multiple Critters,1,1,1,0,0,0,0,0,0,Biological Invasions,Invasions,2006,2.531,2006,Spain,0,0,0,0,0,0,Europe,cardona,0,Other,0,0
37,carlsson2004,2365,Multiple,ADP,Omnivore,Omnivore,Lake,Multiple,Manipulative and Observational,226,gallardo,Multiple,Macrophytes and Phytoplankton,Multiple Critters,1,1,1,1,0,0,0,1,1,Ecology,General,2004,4.104,2004,Sweden,0,0,0,0,0,0,Europe,carlsson,0,Other,0,1
38,carvalho2016,4662,Multiple,ADP,Omnivore,Omnivore,River,Multiple,Manipulative and Mesocosm,2,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Science of the Total Environment,General,2016,3.976,2015,Portugal,0,0,0,0,0,0,Europe,carvalho,0,Other,0,0
39,chan2013,3491,Physicochemical,Physicochemical,Filter-collector,Filter-collector,Estuary,Manipulative,Manipulative,3,gallardo,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Journal of Experimental Marine Biology and Ecology,Ecosystem,2013,2.475,2013,Canada,0,0,0,0,0,0,North America,chan,1,Other,0,0
40,chen2007,3884,Physicochemical,Physicochemical,Primary-producer,Primary-producer,Estuary,Manipulative,Manipulative,41,gallardo,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Marine Ecology Progress Series,Ecosystem,2007,2.546,2012,China,0,0,0,1,0,0,Asia,chen_b,0,Spartina,0,0
41,chen2009,3526,Abundance,Abundance,Primary-producer,Primary-producer,Estuary,Observational,Observational,25,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,"Estuarine, Coastal and Shelf Science",Ecosystem,2009,1.97,2009,China,0,0,0,1,0,0,Asia,chen_a,0,Spartina,0,0
42,chen2015,5555,Physicochemical,Physicochemical,Primary-producer,Primary-producer,Estuary,Observational,Observational,7,new,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Science of the Total Environment,General,2015,3.976,2015,China,0,0,0,1,0,0,Asia,chen_c,0,Spartina,0,0
43,cheruvelil2002,4080,Multiple,ADP,Primary-producer,Primary-producer,Lake,Observational,Observational,122,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,1,1,1,0,0,0,1,1,1,North American Benthological Society,Ecosystem,2002,2.077,2002,USA,0,0,0,0,0,0,North America,cheruvelil,1,Other,0,1
44,coetzee2014,3254,Abundance,Abundance,Primary-producer,Primary-producer,Lake,Observational,Observational,7,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,1,Biodiversity and Conservation,Conservation,2014,2.365,2014,South Africa,0,0,0,0,0,0,Africa,coetzee,0,Other,0,1
45,cook2014,4787,Multiple,AD,Primary-producer,Primary-producer,Lake,Observational,Observational,1,new,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,1,0,0,0,Biological Invasions,Invasions,2014,2.586,2014,USA,0,0,0,0,0,0,North America,cook,1,Other,1,0
46,crawford2006,2914,Multiple,AD,Omnivore,Omnivore,River,Observational,Observational,60,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2006,1.213,2006,UK,0,0,0,0,0,0,Europe,crawford,1,Other,0,0
47,cushman2010,4335,Diversity,Diversity,Primary-producer,Primary-producer,River,Observational,Observational,42,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,1,0,0,0,0,Biological Invasions,Invasions,2010,3.474,2010,USA,0,0,0,0,0,0,North America,cushman,1,Other,1,0
48,cutajar2012,5899,Multiple,ADP,Primary-producer,Primary-producer,Estuary,Observational,Observational,9,gallardo,Multiple,Benthic Invertebrates and Macrophytes,Multiple Critters,1,1,1,0,0,0,0,0,0,Marine Ecology Progress Series,Ecosystem,2012,2.546,2012,Australia,0,0,0,1,0,0,Australia and New Zealand,cutajar,1,Spartina,0,0
49,destasio2014,4971,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Observational,Observational,4,new,Multiple,Phytoplankton,Phytoplankton,1,1,1,0,0,1,0,0,0,Diversity and Distributions,Invasions,2014,0.84,2014,USA,0,1,0,0,0,0,North America,destasio,1,Zebra mussel,1,0
50,dommanget2014,5309,Physicochemical,Physicochemical,Primary-producer,Primary-producer,River,Manipulative,Manipulative,10,new,Nutrients-N,Physicochemical Only,Physicochemical Only,1,0,0,0,0,0,1,1,0,Journal of Environmental Management,Conservation,2014,2.723,2014,France,0,0,0,0,0,0,Europe,dommanget,0,Other,0,1
51,douglas2003,3267,Multiple,AD,Primary-producer,Primary-producer,River,Observational,Observational,51,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,1,Freshwater Biology,Ecosystem,2003,1.936,2003,Australia,0,0,0,0,0,0,Australia and New Zealand,douglas,1,Other,0,1
53,dzialowski2013,3677,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Mesocosm,Mesocosm,2,gallardo,Zooplankton,Zooplankton,Zooplankton,0,1,0,0,1,0,0,0,0,Freshwater Science,Ecosystem,2013,1.423,2013,USA,0,1,0,0,0,0,North America,dzialowski,1,Zebra mussel,1,0
54,effler2004,8097,Multiple,AP,Filter-collector,Filter-collector,River,Observational,Observational,21,gallardo,Multiple,Phytoplankton,Phytoplankton,1,1,1,0,0,0,0,0,0,Journal of the American Water Resources Association,Conservation,2004,0.615,2004,USA,0,1,0,0,0,0,North America,effler,1,Zebra mussel,0,0
55,ercoli2015a,3626,Multiple,AD,Omnivore,Omnivore,Lake,Observational,Observational,5,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Freshwater Science,Ecosystem,2015,2.433,2015,Finland,0,0,0,0,0,0,Europe,ercoli,0,Other,0,0
56,ercoli2015b,3046,Multiple,AD,Omnivore,Omnivore,Lake,Observational,Observational,2,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Freshwater Biology,Ecosystem,2015,2.933,2015,Finland,0,0,0,0,0,0,Europe,ercoli,0,Other,0,0
57,eyre2011,6089,Physicochemical,Physicochemical,Primary-producer,Primary-producer,Estuary,Observational,Observational,20,gallardo,OM,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Limnology and Oceanography,General,2011,3.416,2011,Australia,0,0,0,0,0,0,Australia and New Zealand,eyre,1,Other,0,0
58,farnsworth1999,4065,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Observational,Observational,53,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,1,0,1,Biological Invasions,Invasions,1999,2.531,2006,USA,0,0,1,0,0,0,North America,farnsworth,1,Phragmites,0,1
59,ferrareze2015,2790,Multiple,AD,Predator,Predator,River,Observational,Observational,0,new,Fish,Fish,Fish,0,1,0,1,0,0,0,0,0,Brazilian Journal of Biology,General,2015,0.559,2015,Brazil,0,0,0,0,0,0,Central and South America,ferrareze,0,Other,0,0
60,fickbohm2006,4680,Physicochemical,Physicochemical,Primary-producer,Primary-producer,Lake,Observational,Observational,32,gallardo,OM,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Applied Soil Ecology,General,2006,1.929,2006,USA,0,0,0,0,0,0,North America,fickbohm,1,Other,0,0
61,figueredo2005,4447,Multiple,AP,Omnivore,Omnivore,Lake,Manipulative,Manipulative,124,gallardo,Multiple,Phytoplankton,Phytoplankton,1,1,1,1,0,0,0,0,0,Freshwater Biology,Ecosystem,2005,2.797,2005,Brazil,0,0,0,0,0,0,Central and South America,figueredo,0,Other,0,0
62,findlay2003,3777,Multiple,AP,Primary-producer,Primary-producer,River,Observational,Observational,51,gallardo,Multiple,Macrophytes,Macrophytes,1,1,1,0,0,1,0,0,0,Wetlands Ecology and Management,Conservation,2003,1.43,2011,USA,0,0,1,0,0,0,North America,findlay,1,Phragmites,1,0
63,fischer2013,5018,Multiple,AP,Omnivore,Omnivore,Lake,Mesocosm,Mesocosm,51,gallardo,Multiple,"Benthic Invertebrates, Macrophytes, Phytoplankton, and Zooplankton",Multiple Critters,1,1,1,0,1,0,0,0,1,Hydrobiologia,General,2013,2.212,2013,USA,1,0,0,0,0,0,North America,fischer,1,Carp,1,1
64,foster2009,5336,Multiple,AP,Predator,Predator,Lake,Observational,Observational,36,gallardo,Multiple,Phytoplankton,Phytoplankton,1,1,1,1,0,0,0,0,0,Limnology and Oceanography,General,2009,3.545,2009,Canada,0,0,0,0,1,0,North America,foster,1,Bythotrephes,0,0
